cluster,stock_1,stock_2,pvalue,beta,spread_std
0,ONGC,PFC,0.018865787022568907,0.3978069943539071,18.282284755130885
0,BANDHANBNK,HINDPETRO,0.019320598659631847,-0.3999318224711726,36.56258288551277
0,UBL,CIPLA,0.019430785543111968,0.8563039222291337,112.99847281325758
0,TATACHEM,AARTIIND,0.019457435070900697,-0.24562659967245312,142.86997027050586
0,BANDHANBNK,ASHOKA,0.019545946425713334,-0.5491774544813003,39.43235775486351
0,AXISBANK,ESCORTS,0.019560656556243828,0.19129227061342288,62.70226498225244
0,DLF,IRB,0.01957623899731373,11.494590836325175,56.41889306190291
0,M&M,EICHERMOT,0.019656761299016376,0.8517222286218914,184.47741386254944
0,MARUTI,CHOLAFIN,0.019686690395338748,5.515494394581213,667.1457266840085
0,BANDHANBNK,GLENMARK,0.020107236522723664,-0.0875995571839796,37.53005784952723
0,CIPLA,EICHERMOT,0.020759346412565337,0.28259624402967465,96.28179734060645
0,OFSS,HINDPETRO,0.02081740944950917,30.916880070747464,750.0783282507648
0,COLPAL,ADANIPORTS,0.02086080176419604,2.12681788903847,227.79180455734073
0,ADANIPORTS,IRB,0.02124809224136929,14.61648364722949,103.6789252699392
0,BRITANNIA,RATNAMANI,0.021355350994798166,0.9127989853089106,300.78398392931655
0,DLF,PFC,0.021767856697918652,1.3288651077837041,50.72923693879946
0,JINDALSTEL,NTPC,0.02259708614478505,2.094322663121068,60.68117160515092
0,UBL,EICHERMOT,0.02295359677493635,0.2583241663388342,119.90679916889734
0,MARICO,ASHOKLEY,0.022959643747383206,3.0293618231224313,33.364428101556065
0,TCS,BAJAJ-AUTO,0.022977130693277212,0.14687540952949749,206.48095455071197
0,JINDALSTEL,NCC,0.023028965073871397,2.389443051140932,66.8632834708738
0,MARICO,JSWSTEEL,0.023513659217920833,0.4055018133595866,35.04568886215256
0,TCS,NCC,0.023955643122098264,4.083403234035965,207.55819127210125
0,ONGC,POWERGRID,0.02396620065540252,0.8451180974708272,13.496108519028251
0,NBCC,NCC,0.023985518958205342,0.3469761958977478,8.230003635369268
0,GODREJCP,BALKRISIND,0.024382077498821948,0.4504642354475898,97.27535677399996
0,ESCORTS,LT,0.024461345083871388,1.0221053752782907,274.25592767463195
0,BANDHANBNK,NBCC,0.024499128884028047,-1.06260206007822,37.3734865118586
0,TCS,IRB,0.02455539952422953,20.31490952437689,206.5827320099567
0,TCS,COLPAL,0.024631462379398127,0.5705779608912754,202.77830454986005
0,MARICO,SIEMENS,0.024659236276752403,0.05444150769712603,36.66495253279893
